job,count
Vve,2538
man.,680
manœuvre,556
veuve,513
représentant,508
vendeuse,504
étud,452
maçon,433
peintre,426
Veuve,408
chauffeur,405
menuisier,385
comptable,343
couturière,313
jardinier,312
mécanicien,307
emp. bur,302
représent.,295
boulanger,277
coiffeur,276
secrétaire,269
man,268
typo,266
serrurier,266
commerçant,263
mécan.,255
ébéniste,253
"empi, de bureau",220
magasinier,215
coutur.,213
sommelière,211
représ,194
médecin,189
vend,185
infirmière,177
électricien,177
boucher,176
concierge,171
"empi, bureau",163
monteur,162
professeur,162
cordonnier,159
"empi, postal",156
tapissier,153
épicerie,151
cuisinier,149
"empi, bur.",146
lingère,145
emp. comm,144
ingénieur,143
