job,count
"domestique,",696
ménagère,526
couturière,390
rentière,296
"manœuvre,",268
"employé,",261
cuisinière,254
menuisier,251
maçon,226
agriculteur,224
serrurier,215
journalier,167
jardinier,167
"étudiant,",156
tailleur,153
cordonnier,152
négociant,141
boulanger,125
typographe,122
charpentier,122
femme de chambre,117
cafetier,108
demoiselle de magasin,106
"institutrice,",104
charretier,100
rentier,92
comptable,92
mécanicien,85
repasseuse,81
ferblantier,79
blanchisseuse,71
ébéniste,69
"journalière,",66
peintre,63
boucher,60
cocher,60
concierge,56
coiffeur,54
"employé J.-S.,",53
architecte,53
ingénieur,53
employé postal,52
journalière,51
lingère,51
tapissier,49
"commis,",49
relieur,47
modiste,47
maréchal,44
manœuvre,43
